Rule_Number,ICD_10_Code,Category,Code_Description
Rule 1,T1491XA,Suicide attempt,"Suicide attempt, initial encounter"
Rule 1,T360X2A,"Poisoning, intentional self-harm","Poisoning by penicillins, intentional self-harm, initial encounter"
Rule 1,T361X2A,"Poisoning, intentional self-harm","Poisoning by cephalosporins and other beta-lactam antibiotics, intentional self-harm, initial encounter"
Rule 1,T362X2A,"Poisoning, intentional self-harm","Poisoning by chloramphenicol group, intentional self-harm, initial encounter"
Rule 1,T363X2A,"Poisoning, intentional self-harm","Poisoning by macrolides, intentional self-harm, initial encounter"
Rule 1,T364X2A,"Poisoning, intentional self-harm","Poisoning by tetracyclines, intentional self-harm, initial encounter"
Rule 1,T365X2A,"Poisoning, intentional self-harm","Poisoning by aminoglycosides, intentional self-harm, initial encounter"
Rule 1,T366X2A,"Poisoning, intentional self-harm","Poisoning by rifampicins, intentional self-harm, initial encounter"
Rule 1,T367X2A,"Poisoning, intentional self-harm","Poisoning by antifungal antibiotics, systemically used, intentional self-harm, initial encounter"
Rule 1,T368X2A,"Poisoning, intentional self-harm","Poisoning by other systemic antibiotics, intentional self-harm, initial encounter"
Rule 1,T3692XA,"Poisoning, intentional self-harm","Poisoning by unspecified systemic antibiotic, intentional self-harm, initial encounter"
Rule 1,T370X2A,"Poisoning, intentional self-harm","Poisoning by sulfonamides, intentional self-harm, initial encounter"
Rule 1,T371X2A,"Poisoning, intentional self-harm","Poisoning by antimycobacterial drugs, intentional self-harm, initial encounter"
Rule 1,T372X2A,"Poisoning, intentional self-harm","Poisoning by antimalarials and drugs acting on other blood protozoa, intentional self-harm, initial encounter"
Rule 1,T373X2A,"Poisoning, intentional self-harm","Poisoning by other antiprotozoal drugs, intentional self-harm, initial encounter"
Rule 1,T374X2A,"Poisoning, intentional self-harm","Poisoning by anthelminthics, intentional self-harm, initial encounter"
Rule 1,T375X2A,"Poisoning, intentional self-harm","Poisoning by antiviral drugs, intentional self-harm, initial encounter"
Rule 1,T378X2A,"Poisoning, intentional self-harm","Poisoning by other specified systemic anti-infectives and antiparasitics, intentional self-harm, initial encounter"
Rule 1,T3792XA,"Poisoning, intentional self-harm","Poisoning by unspecified systemic anti-infective and antiparasitics, intentional self-harm, initial encounter"
Rule 1,T380X2A,"Poisoning, intentional self-harm","Poisoning by glucocorticoids and synthetic analogues, intentional self-harm, initial encounter"
Rule 1,T381X2A,"Poisoning, intentional self-harm","Poisoning by thyroid hormones and substitutes, intentional self-harm, initial encounter"
Rule 1,T382X2A,"Poisoning, intentional self-harm","Poisoning by antithyroid drugs, intentional self-harm, initial encounter"
Rule 1,T383X2A,"Poisoning, intentional self-harm","Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, intentional self-harm, initial encounter"
Rule 1,T384X2A,"Poisoning, intentional self-harm","Poisoning by oral contraceptives, intentional self-harm, initial encounter"
Rule 1,T385X2A,"Poisoning, intentional self-harm","Poisoning by other estrogens and progestogens, intentional self-harm, initial encounter"
Rule 1,T386X2A,"Poisoning, intentional self-harm","Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, intentional self-harm, initial encounter"
Rule 1,T387X2A,"Poisoning, intentional self-harm","Poisoning by androgens and anabolic congeners, intentional self-harm, initial encounter"
Rule 1,T38802A,"Poisoning, intentional self-harm","Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, initial encounter"
Rule 1,T38812A,"Poisoning, intentional self-harm","Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm, initial encounter"
Rule 1,T38892A,"Poisoning, intentional self-harm","Poisoning by other hormones and synthetic substitutes, intentional self-harm, initial encounter"
Rule 1,T38902A,"Poisoning, intentional self-harm","Poisoning by unspecified hormone antagonists, intentional self-harm, initial encounter"
Rule 1,T38992A,"Poisoning, intentional self-harm","Poisoning by other hormone antagonists, intentional self-harm, initial encounter"
Rule 1,T39012A,"Poisoning, intentional self-harm","Poisoning by aspirin, intentional self-harm, initial encounter"
